Year;Day;Date;Number_1;Number_2;Number_3;Number_4;Number_5;Number_6;Bonus_Ball;Jackpot;Outcome
2026;Wednesday;7 January 2026;5;32;33;39;45;46;3;R3,000,000;Roll
2026;Saturday;3 January 2026;6;30;35;36;39;52;16;R2,500,000;Roll
2025;Wednesday;31 December 2025;12;32;33;34;36;44;43;R1,500,000;Roll
2025;Saturday;27 December 2025;9;15;26;37;47;50;38;R500,000;Roll
2025;Wednesday;24 December 2025;20;22;29;39;45;56;33;R7,281,744.30;Won
2025;Saturday;20 December 2025;6;9;10;25;38;55;15;R5,500,000;Roll
2025;Wednesday;17 December 2025;8;18;23;37;51;53;47;R5,000,000;Roll
2025;Saturday;13 December 2025;1;12;13;21;48;53;31;R4,500,000;Roll
2025;Wednesday;10 December 2025;22;31;36;46;50;55;27;R3,500,000;Roll
2025;Saturday;6 December 2025;9;12;38;41;44;53;26;R3,000,000;Roll
2025;Wednesday;3 December 2025;22;25;28;45;49;51;9;R2,000,000;Roll
2025;Saturday;29 November 2025;2;14;17;25;30;45;21;R1,000,000;Roll
2025;Wednesday;26 November 2025;1;12;32;35;38;39;42;R5,901,997.80;Won
2025;Saturday;22 November 2025;5;24;31;46;49;54;50;R6,000,000;Roll
2025;Wednesday;19 November 2025;2;5;7;24;30;42;32;R5,000,000;Roll
2025;Saturday;15 November 2025;15;39;47;48;56;57;28;R4,000,000;Roll
2025;Wednesday;12 November 2025;2;4;16;24;43;55;42;R3,000,000;Roll
2025;Saturday;8 November 2025;8;11;32;45;46;52;41;R2,000,000;Roll
2025;Wednesday;5 November 2025;12;19;27;34;35;47;26;R1,000,000;Roll
2025;Saturday;1 November 2025;10;15;18;31;44;46;24;R13,240,758.60;Won
2025;Wednesday;29 October 2025;23;34;37;44;45;56;13;R14,000,000;Roll
2025;Saturday;25 October 2025;9;12;26;32;39;44;50;R13,000,000;Roll
2025;Wednesday;22 October 2025;4;7;23;32;41;46;25;R12,000,000;Roll
2025;Saturday;18 October 2025;8;25;28;41;51;53;43;R11,000,000;Roll
2025;Wednesday;15 October 2025;28;43;45;53;56;58;33;R10,000,000;Roll
2025;Saturday;11 October 2025;8;9;13;37;50;56;2;R9,000,000;Roll
2025;Wednesday;8 October 2025;4;12;26;39;40;45;9;R8,000,000;Roll
2025;Saturday;4 October 2025;11;20;23;27;28;42;21;R7,000,000;Roll
2025;Wednesday;1 October 2025;10;15;17;27;45;48;3;R6,000,000;Roll
2025;Saturday;27 September 2025;2;12;15;27;34;40;53;R5,000,000;Roll
2025;Wednesday;24 September 2025;4;14;18;20;27;55;40;R4,000,000;Roll
2025;Saturday;20 September 2025;13;21;33;40;45;50;12;R2,688,058.67;Roll
2025;Wednesday;17 September 2025;17;20;21;29;39;43;47;R1,748,533.63;Roll
2025;Saturday;13 September 2025;8;28;35;40;42;48;50;R949,516.89;Roll
2025;Wednesday;10 September 2025;12;14;15;43;49;51;42;R1,761,341;Won
2025;Saturday;6 September 2025;4;15;25;30;38;42;24;R984,659.15;Roll
2025;Wednesday;3 September 2025;20;31;36;46;49;50;51;R11,276,926.60;Won
2025;Saturday;30 August 2025;20;21;30;40;47;52;10;R10,332,371.17;Roll
2025;Wednesday;27 August 2025;21;24;25;28;31;35;18;R9,238,769.83;Roll
2025;Saturday;23 August 2025;13;16;26;36;37;51;10;R8,249,730.87;Roll
2025;Wednesday;20 August 2025;10;13;16;29;30;35;7;R7,291,335.84;Roll
2025;Saturday;16 August 2025;14;23;24;34;38;41;3;R6,427,429.88;Roll
2025;Wednesday;13 August 2025;4;8;22;39;42;47;18;R5,248,241.49;Roll
2025;Saturday;9 August 2025;8;21;32;33;37;38;40;R4,299,623.64;Roll
2025;Wednesday;6 August 2025;3;8;19;24;45;52;31;R3,172,268.59;Roll
2025;Saturday;2 August 2025;7;9;13;25;47;49;50;R2,119,175.15;Roll
2025;Wednesday;30 July 2025;2;9;24;27;38;48;34;R965,222.71;Roll
2025;Saturday;26 July 2025;4;7;23;28;44;46;18;R30,211,138.30;Won
2025;Wednesday;23 July 2025;5;17;24;32;48;49;38;R29,022,757.02;Roll
2025;Saturday;19 July 2025;3;8;20;29;32;52;15;R28,112,905.36;Roll
2025;Wednesday;16 July 2025;1;2;5;22;31;44;26;R27,056,390.77;Roll
2025;Saturday;12 July 2025;2;10;33;40;44;52;16;R26,163,722.37;Roll
2025;Wednesday;9 July 2025;3;6;14;16;30;51;37;R25,101,727.58;Roll
2025;Saturday;5 July 2025;2;7;19;31;36;50;45;R24,112,718.43;Roll
2025;Wednesday;2 July 2025;8;11;19;26;38;52;15;R22,987,774.22;Roll
2025;Saturday;28 June 2025;16;25;30;41;45;47;7;R22,093,819.24;Roll
2025;Wednesday;25 June 2025;19;24;26;45;46;52;29;R20,921,634.14;Roll
2025;Saturday;21 June 2025;10;14;31;48;50;52;34;R19,909,417.61;Roll
2025;Wednesday;18 June 2025;1;13;27;28;41;51;8;R18,803,794.55;Roll
2025;Saturday;14 June 2025;19;20;27;42;43;51;36;R17,526,651.56;Roll
2025;Wednesday;11 June 2025;4;10;15;24;28;31;7;R16,063,813.13;Roll
2025;Saturday;7 June 2025;8;12;18;20;30;51;15;R15,005,850.32;Roll
2025;Wednesday;4 June 2025;7;17;31;39;40;43;13;R13,788,244.88;Roll
2025;Saturday;31 May 2025;15;17;25;28;49;51;50;R12,159,450.13;Roll
2025;Wednesday;28 May 2025;9;18;23;27;42;49;15;R10,652,429.58;Roll
2025;Saturday;24 May 2025;2;8;11;17;19;39;9;R9,539,886.04;Roll
2025;Wednesday;21 May 2025;17;35;41;43;50;52;8;R8,443,827.49;Roll
2025;Saturday;17 May 2025;7;8;12;26;27;49;34;R7,480,845.98;Roll
2025;Wednesday;14 May 2025;21;25;31;41;42;50;48;R6,420,794.30;Roll
2025;Saturday;10 May 2025;1;17;18;20;36;42;37;R5,423,899.42;Roll
2025;Wednesday;7 May 2025;20;30;31;35;37;39;21;R4,311,210.79;Roll
2025;Saturday;3 May 2025;12;16;17;19;29;38;42;R3,249,708.90;Roll
2025;Wednesday;30 April 2025;9;17;19;40;47;51;8;R2,208,961.15;Roll
2025;Saturday;26 April 2025;4;6;21;22;36;43;9;R1,154,793.80;Roll
2025;Wednesday;23 April 2025;3;12;21;30;39;45;31;R13,314,022.70;Won
2025;Saturday;19 April 2025;10;16;20;24;28;37;12;R12,427,511.57;Roll
2025;Wednesday;16 April 2025;3;6;13;28;47;48;15;R11,495,556.26;Roll
2025;Saturday;12 April 2025;9;15;20;25;29;44;16;R10,546,211.64;Roll
2025;Wednesday;9 April 2025;1;18;30;40;50;51;49;R9,502,568.77;Roll
2025;Saturday;5 April 2025;4;9;18;20;38;39;47;R8,508,533.89;Roll
2025;Wednesday;2 April 2025;5;16;27;32;36;44;51;R7,393,229.05;Roll
2025;Saturday;29 March 2025;1;16;18;26;29;36;24;R6,367,355.75;Roll
2025;Wednesday;26 March 2025;1;16;19;24;31;44;51;R5,333,267.46;Roll
2025;Saturday;22 March 2025;16;25;32;39;45;52;40;R4,422,413.43;Roll
2025;Wednesday;19 March 2025;4;7;18;21;39;42;27;R3,454,224;Roll
2025;Saturday;15 March 2025;3;26;33;38;39;41;28;R2,746,463.99;Roll
2025;Wednesday;12 March 2025;10;15;17;27;29;47;31;R1,761,394.07;Roll
2025;Saturday;8 March 2025;6;9;18;22;25;27;14;R918,006.39;Roll
2025;Wednesday;5 March 2025;33;36;38;40;46;49;39;R8,415,189.60;Won
2025;Saturday;1 March 2025;2;3;10;20;27;44;8;R7,359,232.19;Roll
2025;Wednesday;26 February 2025;6;17;23;28;36;49;51;R6,331,392.59;Roll
2025;Saturday;22 February 2025;13;16;36;49;51;52;42;R5,425,727.27;Roll
2025;Wednesday;19 February 2025;8;21;22;39;47;52;19;R4,444,423.66;Roll
2025;Saturday;15 February 2025;3;14;20;30;35;42;6;R3,668,053.15;Roll
2025;Wednesday;12 February 2025;7;8;16;40;42;49;3;R2,697,995.48;Roll
2025;Saturday;8 February 2025;1;15;28;30;33;50;21;R1,887,235.93;Roll
2025;Wednesday;5 February 2025;8;14;21;32;37;49;27;R863,030.14;Roll
2025;Saturday;1 February 2025;4;8;14;17;24;29;26;R7,669,551.20;Won
2025;Wednesday;29 January 2025;4;6;13;21;37;44;27;R6,697,377.50;Roll
2025;Saturday;25 January 2025;1;21;27;28;43;49;25;R5,728,791.91;Roll
2025;Wednesday;22 January 2025;5;13;25;34;44;50;33;R4,583,927.64;Roll
2025;Saturday;18 January 2025;2;7;9;23;46;48;5;R3,765,647.39;Roll
2025;Wednesday;15 January 2025;1;12;21;24;25;35;31;R2,821,224.49;Roll
2025;Saturday;11 January 2025;1;6;26;34;38;48;36;R2,009,552.02;Roll
2025;Wednesday;8 January 2025;4;8;9;10;30;38;51;R946,007.64;Roll
2025;Saturday;4 January 2025;2;7;20;26;29;38;39;R2,093,628.50;Won
2025;Wednesday;1 January 2025;23;32;38;39;46;50;7;R979,523.49;Roll
2024;Saturday;28 December 2024;7;21;32;36;38;51;45;R40,000,000;Won
2024;Saturday;21 December 2024;3;7;12;24;31;49;34;R37,408,310.06;Roll
2024;Wednesday;18 December 2024;2;5;26;39;42;43;47;R36,175,416.11;Roll
2024;Saturday;14 December 2024;24;29;32;34;37;50;13;R35,000,000;Roll
2024;Wednesday;11 December 2024;5;18;20;25;29;40;12;R29,276,854.84;Roll
2024;Saturday;7 December 2024;3;5;15;16;40;50;11;R28,327,979.28;Roll
2024;Wednesday;4 December 2024;5;11;22;41;43;52;7;R27,200,072.37;Roll
2024;Saturday;30 November 2024;4;8;13;27;48;52;34;R26,109,204.50;Roll
2024;Wednesday;27 November 2024;12;21;31;35;36;43;27;R24,875,841.50;Roll
2024;Saturday;23 November 2024;10;11;21;25;34;36;9;R23,831,166.45;Roll
2024;Wednesday;20 November 2024;35;37;39;40;43;51;5;R22,764,749.48;Roll
2024;Saturday;16 November 2024;4;5;30;35;37;42;32;R21,687,468.83;Roll
2024;Wednesday;13 November 2024;3;12;16;37;40;52;2;R20,447,334.42;Roll
2024;Saturday;9 November 2024;10;17;29;37;46;49;50;R19,408,975.64;Roll
2024;Wednesday;6 November 2024;3;8;18;29;50;51;43;R18,127,162.69;Roll
2024;Saturday;2 November 2024;10;12;14;19;30;32;26;R16,979,549.72;Roll
2024;Wednesday;30 October 2024;3;9;24;35;42;46;14;R15,700,625.27;Roll
2024;Saturday;26 October 2024;1;10;13;36;42;52;21;R13,941,500.94;Roll
2024;Wednesday;23 October 2024;4;5;23;28;32;41;22;R11,988,794.78;Roll
2024;Saturday;19 October 2024;14;26;34;42;44;46;17;R10,704,690.90;Roll
2024;Wednesday;16 October 2024;4;6;10;35;39;42;5;R9,157,713.65;Roll
2024;Saturday;12 October 2024;2;6;8;31;38;49;15;R7,902,271.52;Roll
2024;Wednesday;9 October 2024;9;17;23;24;36;50;31;R6,525,287.13;Roll
2024;Saturday;5 October 2024;3;4;5;41;44;46;8;R5,250,610.63;Roll
2024;Wednesday;2 October 2024;13;18;19;21;26;34;33;R3,849,176.02;Roll
2024;Saturday;28 September 2024;1;4;35;38;46;51;47;R2,534,653.46;Roll
2024;Wednesday;25 September 2024;3;28;35;38;49;50;42;R1,119,128.13;Roll
2024;Saturday;21 September 2024;11;14;33;40;43;44;2;R1,151,909.90;Won
2024;Wednesday;18 September 2024;4;10;21;32;35;42;2;R8,578,433.60;Won
2024;Saturday;14 September 2024;3;6;11;15;47;49;48;R7,562,134.71;Roll
2024;Wednesday;11 September 2024;16;21;41;44;49;51;46;R6,341,012.72;Roll
2024;Saturday;7 September 2024;3;19;24;35;38;41;12;R5,214,066.43;Roll
2024;Wednesday;4 September 2024;20;27;28;37;39;43;26;R3,953,539.60;Roll
2024;Saturday;31 August 2024;13;30;34;42;49;51;31;R2,746,442.08;Roll
2024;Wednesday;28 August 2024;11;14;20;42;45;47;35;R1,214,034.53;Roll
2024;Saturday;24 August 2024;4;29;31;36;43;48;33;R13,470,786.10;Won
2024;Wednesday;21 August 2024;1;11;16;27;33;46;9;R12,030,914.53;Roll
2024;Saturday;17 August 2024;2;16;24;26;33;39;4;R11,058,724.93;Roll
2024;Wednesday;14 August 2024;1;14;15;38;42;49;25;R9,842,934.08;Roll
2024;Saturday;10 August 2024;9;15;18;19;43;51;35;R8,732,780.18;Roll
2024;Wednesday;7 August 2024;2;10;17;18;43;47;11;R7,461,896.49;Roll
2024;Saturday;3 August 2024;16;27;28;34;39;43;30;R6,312,538.49;Roll
2024;Wednesday;31 July 2024;4;7;18;24;37;48;29;R3,639,309.92;Roll
2024;Saturday;27 July 2024;3;9;29;40;41;43;28;R1,751,755.99;Roll
2024;Wednesday;24 July 2024;5;10;15;18;20;28;9;R7,804,904.60;Won
2024;Saturday;20 July 2024;8;9;11;26;37;51;44;R6,640,531.03;Roll
2024;Wednesday;17 July 2024;1;2;11;17;47;48;7;R5,160,284.09;Roll
2024;Saturday;13 July 2024;15;21;32;41;43;52;42;R3,987,792.25;Roll
2024;Wednesday;10 July 2024;2;6;21;30;38;44;25;R2,584,165.43;Roll
2024;Saturday;6 July 2024;2;3;21;23;26;40;50;R1,360,054.24;Roll
2024;Wednesday;3 July 2024;9;19;22;28;41;48;23;R15,669,363.20;Won
2024;Saturday;29 June 2024;12;23;24;32;36;49;8;R14,413,878.04;Roll
2024;Wednesday;26 June 2024;7;9;18;25;44;46;13;R13,030,831.12;Roll
2024;Saturday;22 June 2024;2;3;13;22;26;41;24;R11,939,589.61;Roll
2024;Wednesday;19 June 2024;6;12;17;31;33;44;4;R10,830,381.76;Roll
2024;Saturday;15 June 2024;21;23;29;42;48;52;25;R9,888,306.09;Roll
2024;Wednesday;12 June 2024;3;6;8;15;18;27;42;R8,689,641.53;Roll
2024;Saturday;8 June 2024;4;31;32;36;44;47;11;R7,847,384.08;Roll
2024;Wednesday;5 June 2024;9;30;38;40;48;50;11;R6,652,235.41;Roll
2024;Saturday;1 June 2024;8;22;29;41;49;50;28;R5,573,660.89;Roll
2024;Wednesday;29 May 2024;19;20;42;44;50;52;28;R4,402,139.62;Roll
2024;Saturday;25 May 2024;7;18;22;26;30;31;44;R3,496,154.31;Roll
2024;Wednesday;22 May 2024;5;9;19;27;29;32;42;R2,498,380.28;Roll
2024;Saturday;18 May 2024;24;40;42;43;49;52;27;R1,795,956.04;Roll
2024;Wednesday;15 May 2024;3;13;30;32;42;46;17;R814,439.10;Roll
2024;Saturday;11 May 2024;4;6;19;30;34;51;8;R12,983,575.35;Won
2024;Wednesday;8 May 2024;6;15;23;38;43;52;39;R11,962,827.81;Roll
2024;Saturday;4 May 2024;27;29;35;43;49;50;51;R11,000,000;Roll
2024;Wednesday;1 May 2024;3;7;21;37;44;46;40;R8,606,057.22;Roll
2024;Saturday;27 April 2024;3;7;17;33;39;44;40;R7,650,516.91;Roll
2024;Wednesday;24 April 2024;3;23;25;27;47;51;37;R6,628,714.67;Roll
2024;Saturday;20 April 2024;1;7;8;21;33;39;29;R5,802,620.89;Roll
2024;Wednesday;17 April 2024;1;7;21;34;39;41;48;R4,929,390.91;Roll
2024;Saturday;13 April 2024;15;23;30;34;45;49;22;R4,105,883.53;Roll
2024;Wednesday;10 April 2024;7;20;26;40;48;50;12;R3,019,665.75;Roll
2024;Saturday;6 April 2024;10;15;17;18;25;41;31;R2,084,147.52;Roll
2024;Wednesday;3 April 2024;8;23;38;39;47;49;51;R983,445.51;Roll
2024;Saturday;30 March 2024;2;6;22;29;32;50;25;R9,848,059.20;Won
2024;Wednesday;27 March 2024;6;27;29;43;44;49;33;R8,750,188.74;Roll
2024;Saturday;23 March 2024;14;26;34;38;48;52;6;R7,772,750.82;Roll
2024;Wednesday;20 March 2024;9;15;17;29;33;47;24;R6,732,177.97;Roll
2024;Saturday;16 March 2024;6;10;22;41;42;49;15;R5,997,963.67;Roll
2024;Wednesday;13 March 2024;1;6;11;21;44;48;20;R4,995,627;Roll
2024;Saturday;9 March 2024;1;3;13;22;31;47;8;R4,209,060.63;Roll
2024;Wednesday;6 March 2024;14;25;27;35;43;52;41;R3,103,786.71;Roll
2024;Saturday;2 March 2024;5;8;12;15;44;46;2;R2,020,772.78;Roll
2024;Wednesday;28 February 2024;1;2;9;13;44;45;10;R893,411.10;Roll
2024;Saturday;24 February 2024;3;8;13;22;24;41;46;R5,362,864.60;Won
2024;Wednesday;21 February 2024;10;20;37;44;46;52;23;R4,281,497.03;Roll
2024;Saturday;17 February 2024;2;3;10;17;33;50;14;R3,466,011.87;Roll
2024;Wednesday;14 February 2024;3;10;11;28;32;38;41;R2,546,341.96;Roll
2024;Saturday;10 February 2024;3;7;12;22;26;41;30;R1,768,432.47;Roll
2024;Wednesday;7 February 2024;6;8;18;34;36;52;12;R857,625.48;Roll
2024;Saturday;3 February 2024;2;14;19;27;28;33;15;R1,959,094.60;Won
2024;Wednesday;31 January 2024;2;5;6;14;32;50;48;R917,072.22;Roll
2024;Saturday;27 January 2024;6;7;16;17;26;41;48;R9,855,336.10;Won
2024;Wednesday;24 January 2024;20;21;36;37;38;51;50;R8,718,300.57;Roll
2024;Saturday;20 January 2024;9;28;37;39;46;52;8;R7,742,532.80;Roll
2024;Wednesday;17 January 2024;20;30;32;40;47;52;41;R6,671,521.40;Roll
2024;Saturday;13 January 2024;4;10;17;20;37;43;51;R5,793,447.21;Roll
2024;Wednesday;10 January 2024;3;7;21;22;29;39;16;R4,808,495.21;Roll
2024;Saturday;6 January 2024;6;13;27;37;38;46;10;R4,035,582.29;Roll
2024;Wednesday;3 January 2024;13;15;28;41;42;44;34;R3,000,973.27;Roll
2023;Saturday;30 December 2023;2;13;18;21;26;46;34;R2,081,425.92;Roll
2023;Wednesday;27 December 2023;1;6;14;19;27;33;15;R834,534.67;Roll
2023;Saturday;23 December 2023;11;19;28;31;38;49;24;R8,700,534.30;Won
2023;Wednesday;20 December 2023;8;25;30;38;46;48;20;R7,577,390.74;Roll
2023;Saturday;16 December 2023;1;14;15;27;29;32;25;R6,457,098.61;Roll
2023;Wednesday;13 December 2023;8;9;27;34;39;46;32;R5,348,946.12;Roll
2023;Saturday;9 December 2023;11;18;25;28;45;46;32;R4,376,123.17;Roll
2023;Wednesday;6 December 2023;6;26;32;42;43;48;14;R3,261,437.10;Roll
2023;Saturday;2 December 2023;15;18;21;28;47;49;8;R2,174,609.17;Roll
2023;Wednesday;29 November 2023;25;27;31;32;46;51;20;R1,013,507.69;Roll
2023;Saturday;25 November 2023;18;23;25;42;44;52;35;R5,350,298.40;Won
2023;Wednesday;22 November 2023;2;5;12;21;25;26;46;R4,060,061.06;Roll
2023;Saturday;18 November 2023;6;15;23;28;41;49;39;R3,137,200.54;Roll
2023;Wednesday;15 November 2023;4;7;10;26;44;47;46;R1,968,380.28;Roll
2023;Saturday;11 November 2023;6;7;12;20;27;33;42;R974,921.12;Roll
2023;Wednesday;8 November 2023;1;7;9;22;25;51;47;R3,216,102.20;Won
2023;Saturday;4 November 2023;1;3;14;22;26;49;39;R2,239,961.48;Roll
2023;Wednesday;1 November 2023;1;11;23;32;36;45;46;R996,976.99;Roll
2023;Saturday;28 October 2023;11;19;23;34;39;52;25;R21,356,279.20;Won
2023;Wednesday;25 October 2023;28;29;33;36;43;50;6;R20,130,129.45;Roll
2023;Saturday;21 October 2023;10;12;14;46;49;51;44;R19,011,445.87;Roll
2023;Wednesday;18 October 2023;15;20;21;25;40;42;3;R17,878,401.27;Roll
2023;Saturday;14 October 2023;2;4;17;18;33;51;45;R16,966,041.38;Roll
2023;Wednesday;11 October 2023;5;20;34;42;43;47;23;R15,823,354.09;Roll
2023;Saturday;7 October 2023;18;21;41;42;44;51;49;R14,898,492.17;Roll
2023;Wednesday;4 October 2023;6;10;14;18;19;35;27;R13,714,898.15;Roll
2023;Saturday;30 September 2023;1;18;24;25;28;48;15;R12,826,842.08;Roll
2023;Wednesday;27 September 2023;8;10;24;37;48;51;27;R11,694,858.14;Roll
2023;Saturday;23 September 2023;20;25;35;39;42;51;46;R10,802,409.69;Roll
2023;Wednesday;20 September 2023;5;22;25;33;40;52;11;R9,682,228.19;Roll
2023;Saturday;16 September 2023;7;9;12;27;38;46;15;R8,910,152.02;Roll
2023;Wednesday;13 September 2023;1;3;6;13;43;46;51;R7,962,258.94;Roll
2023;Saturday;9 September 2023;6;15;22;29;31;46;16;R7,143,879.98;Roll
2023;Wednesday;6 September 2023;3;4;11;21;22;44;7;R6,074,532.11;Roll
2023;Saturday;2 September 2023;5;15;17;36;39;50;4;R5,297,606.43;Roll
2023;Wednesday;30 August 2023;9;14;15;22;43;48;47;R4,179,658.22;Roll
2023;Saturday;26 August 2023;16;26;34;35;40;42;52;R3,172,300.47;Roll
2023;Wednesday;23 August 2023;8;11;12;14;27;30;10;R1,925,632.48;Roll
2023;Saturday;19 August 2023;7;29;37;39;40;43;49;R1,177,527.54;Roll
2023;Wednesday;16 August 2023;11;18;30;32;36;43;7;R32,785,982.10;Won
2023;Saturday;12 August 2023;12;26;28;29;37;48;4;R31,616,906.16;Roll
2023;Wednesday;9 August 2023;4;10;15;33;38;46;13;R30,352,265.87;Roll
2023;Saturday;5 August 2023;3;12;21;23;32;38;48;R29,329,746.14;Roll
2023;Wednesday;2 August 2023;9;10;16;21;27;29;8;R28,053,235.18;Roll
2023;Saturday;29 July 2023;10;14;19;20;24;48;30;R26,956,475.70;Roll
2023;Wednesday;26 July 2023;1;17;19;32;45;52;5;R25,772,969.14;Roll
2023;Saturday;22 July 2023;5;11;25;26;42;47;16;R24,612,858.11;Roll
2023;Wednesday;19 July 2023;18;30;37;43;44;47;16;R23,508,255.29;Roll
2023;Saturday;15 July 2023;4;15;27;29;42;46;24;R22,513,777.87;Roll
2023;Wednesday;12 July 2023;12;27;37;40;41;42;22;R21,329,496.84;Roll
2023;Saturday;8 July 2023;20;21;38;40;41;51;27;R20,152,458.27;Roll
2023;Wednesday;5 July 2023;7;9;25;45;46;48;2;R18,653,318.82;Roll
2023;Saturday;1 July 2023;1;15;19;44;47;50;5;R17,362,344.82;Roll
2023;Wednesday;28 June 2023;1;7;31;33;38;49;41;R16,034,988.30;Roll
2023;Saturday;24 June 2023;18;23;26;35;36;43;5;R15,002,981.58;Roll
2023;Wednesday;21 June 2023;2;8;13;19;28;35;40;R13,841,154.01;Roll
2023;Saturday;17 June 2023;4;13;19;33;36;51;46;R13,021,245.99;Roll
2023;Wednesday;14 June 2023;12;22;28;29;38;45;46;R11,995,795.37;Roll
2023;Saturday;10 June 2023;3;18;19;26;27;47;25;R11,095,704.98;Roll
2023;Wednesday;7 June 2023;2;3;9;13;17;39;41;R10,041,966.27;Roll
2023;Saturday;3 June 2023;1;6;14;34;39;49;27;R9,076,120.77;Roll
2023;Wednesday;31 May 2023;4;16;19;23;27;43;44;R7,824,758.30;Roll
2023;Saturday;27 May 2023;2;4;7;37;44;50;5;R6,832,455.21;Roll
2023;Wednesday;24 May 2023;8;9;19;22;34;38;20;R5,731,683.63;Roll
2023;Saturday;20 May 2023;21;22;35;36;49;50;33;R4,907,201.05;Roll
2023;Wednesday;17 May 2023;4;16;26;30;35;44;3;R3,510,531.81;Roll
2023;Saturday;13 May 2023;26;29;32;38;39;46;35;R2,379,734.40;Roll
2023;Wednesday;10 May 2023;11;23;29;35;41;46;22;R1,105,286.47;Roll
2023;Saturday;6 May 2023;2;4;26;42;49;51;14;R1,394,858.70;Won
2023;Wednesday;3 May 2023;6;10;30;34;42;44;22;R20,995,899.42;Won
2023;Saturday;29 April 2023;4;20;26;30;39;51;44;R18,538,464.52;Roll
2023;Wednesday;26 April 2023;8;11;12;32;37;42;21;R17,211,060.97;Roll
2023;Saturday;22 April 2023;2;8;10;17;20;26;22;R16,135,011.90;Roll
2023;Wednesday;19 April 2023;9;14;21;39;40;41;31;R15,181,286.18;Roll
2023;Saturday;15 April 2023;2;6;11;37;47;51;23;R14,231,997.22;Roll
2023;Wednesday;12 April 2023;5;14;30;35;37;52;49;R13,072,444.67;Roll
2023;Saturday;8 April 2023;4;18;39;45;49;52;46;R11,993,216.93;Roll
2023;Wednesday;5 April 2023;6;14;16;23;33;51;5;R10,938,877.33;Roll
2023;Saturday;1 April 2023;13;24;33;34;38;47;12;R9,929,907.05;Roll
2023;Wednesday;29 March 2023;5;8;19;36;37;51;49;R8,748,565.54;Roll
2023;Saturday;25 March 2023;10;13;21;25;40;49;22;R9,000,000;Roll
2023;Wednesday;22 March 2023;12;25;32;40;44;52;9;R6,635,502.58;Roll
2023;Saturday;18 March 2023;15;23;27;33;38;39;49;R5,875,271.24;Roll
2023;Wednesday;15 March 2023;8;15;29;46;49;51;5;R4,939,978.25;Roll
2023;Saturday;11 March 2023;1;28;36;38;45;50;2;R4,106,012.65;Roll
2023;Wednesday;8 March 2023;18;24;31;37;41;49;48;R3,037,508.81;Roll
2023;Saturday;4 March 2023;2;23;25;28;43;45;20;R2,097,521.34;Roll
2023;Wednesday;1 March 2023;6;17;20;44;47;50;15;R949,828.87;Roll
2023;Saturday;25 February 2023;11;12;15;20;29;47;49;R3,495,804.50;Won
2023;Wednesday;22 February 2023;5;20;26;34;40;45;12;R2,495,163.81;Roll
2023;Saturday;18 February 2023;2;15;33;40;41;49;46;R1,743,725.83;Roll
2023;Wednesday;15 February 2023;6;35;36;40;49;51;26;R808,344.07;Roll
